hint_placeable_pickup	{id=pickup, key=SpecialAction, mouse=MB} Hold to pick up		{id=pickup, key=SpecialAction, mouse=MB} Maintenir pour prendre	{id=pickup, key=SpecialAction, mouse=MB} Halten zum Aufnehmen	{id=pickup, key=SpecialAction, mouse=MB} Mantén pulsado para coger	{id=pickup, key=SpecialAction, mouse=MB} Segure para pegar	{id=pickup, key=SpecialAction, mouse=MB} 长按以捡起	{id=pickup, key=SpecialAction, mouse=MB} 長押しで拾得	{id=pickup, key=SpecialAction, mouse=MB} (удерж.) Подобрать
									
hint_place	{key=Use, mouse=LB} Place		{key=Use, mouse=LB} Placer	{key=Use, mouse=LB} Platzieren	{key=Use, mouse=LB} Colocar	{key=Use, mouse=LB} Colocar	{key=Use, mouse=LB} 放置	{key=Use, mouse=LB} 設置	{key=Use, mouse=LB} Установить
hint_place_rotate	{key=Use, mouse=LB} Place; {key=Confirm, mouse=RB} Rotate		{key=Use, mouse=LB} Placer; {key=Confirm, mouse=RB} Faire pivoter	{key=Use, mouse=LB} Platzieren; {key=Confirm, mouse=RB} Drehen	{key=Use, mouse=LB} Colocar; {key=Confirm, mouse=RB} Rotar	{key=Use, mouse=LB} Colocar; {key=Confirm, mouse=RB} Girar	{key=Use, mouse=LB} 放置; {key=Confirm, mouse=RB}旋转	{key=Use, mouse=LB} 設置; {key=Confirm, mouse=RB} 回転	{key=Use, mouse=LB} Установить; {key=Confirm, mouse=RB} Повернуть
hint_place_changecolor	{key=Use, mouse=LB} Place; {key=Confirm, mouse=RB} Change color		{key=Use, mouse=LB} Placer; {key=Confirm, mouse=RB} Changer de couleur	{key=Use, mouse=LB} Platzieren; {key=Confirm, mouse=RB} Farbe ändern	{key=Use, mouse=LB} Colocar; {key=Confirm, mouse=RB} Cambiar color	{key=Use, mouse=LB} Colocar; {key=Confirm, mouse=RB} Mudar cor	{key=Use, mouse=LB} 放置; {key=Confirm, mouse=RB}变更颜色	{key=Use, mouse=LB} 設置; {key=Confirm, mouse=RB} 色の変更	{key=Use, mouse=LB} Установить; {key=Confirm, mouse=RB} Изменить цвет
hint_place_gamepad	{key=Confirm} Place; {gamepad_only=RStick} Adjust		{key=Confirm} Placer; {gamepad_only=RStick} Ajuster	{key=Confirm} Platzieren; {gamepad_only=RStick} Anpassen	{key=Confirm} Colocar; {gamepad_only=RStick} Ajustar	{key=Confirm} Colocar; {gamepad_only=RStick} Ajustar	{key=Confirm} 放置; {gamepad_only=RStick} 调整	{key=Confirm} 設置; {gamepad_only=RStick} 調整	{key=Confirm} Установить; {gamepad_only=RStick} Подвинуть
hint_place_rotate_gamepad	{key=Confirm} Place; {key=Use} Rotate; {gamepad_only=RStick} Adjust		{key=Confirm} Placer; {key=Use} Faire pivoter; {gamepad_only=RStick} Ajuster	{key=Confirm} Platzieren; {key=Use} Drehen; {gamepad_only=RStick} Anpassen	{key=Confirm} Colocar; {key=Use} Rotar; {gamepad_only=RStick} Ajustar	{key=Confirm} Colocar; {key=Use} Girar; {gamepad_only=RStick} Ajustar	{key=Confirm} 放置; {key=Use} 旋转; {gamepad_only=RStick} 调整	{key=Confirm} 設置; {key=Use} 回転; {gamepad_only=RStick} 調整	{key=Confirm} Установить; {key=Use} Повернуть; {gamepad_only=RStick} Подвинуть
hint_place_changecolor_gamepad	{key=Confirm} Place; {key=Use} Change color; {gamepad_only=RStick} Adjust		{key=Confirm} Placer; {key=Use} Changer de couleur; {gamepad_only=RStick} Ajuster	{key=Confirm} Platzieren; {key=Use} Farbe ändern; {gamepad_only=RStick} Anpassen	{key=Confirm} Colocar; {key=Use} Cambiar color; {gamepad_only=RStick} Ajustar	{key=Confirm} Colocar; {key=Use} Mudar cor; {gamepad_only=RStick} Ajustar	{key=Confirm} 放置; {key=Use}变更颜色; {gamepad_only=RStick} 调整	{key=Confirm} 設置; {key=Use} 色の変更; {gamepad_only=RStick} 調整	{key=Confirm} Установить; {key=Use} Изменить цвет; {gamepad_only=RStick} Подвинуть
hint_place_changeappearance	{key=Use, mouse=LB} Place; {key=Confirm, mouse=RB} Change Appearance		{key=Use, mouse=LB} Placer; {key=Confirm, mouse=RB} Changer d'apparence	{key=Use, mouse=LB} Platzieren; {key=Confirm, mouse=RB} Aussehen ändern	{key=Use, mouse=LB} Colocar; {key=Confirm, mouse=RB} Cambiar aspecto	{key=Use, mouse=LB} Colocar; {key=Confirm, mouse=RB} Mudar a aparência	{key=Use, mouse=LB} 放置; {key=Confirm, mouse=RB} 变更外观	{key=Use, mouse=LB} 設置; {key=Confirm, mouse=RB} 見た目を変更	{key=Use, mouse=LB} Установить; {key=Confirm, mouse=RB} Изменить внешний вид
hint_place_changeappearance_gamepad	{key=Confirm} Place; {key=Use} Change Appearance; {gamepad_only=RStick} Adjust		{key=Confirm} Placer; {key=Use} Changer d'apparence; {gamepad_only=RStick} Ajuster	{key=Confirm} Platzieren; {key=Use} Aussehen ändern; {gamepad_only=RStick} Anpassen	{key=Confirm} Colocar; {key=Use} Cambiar aspecto; {gamepad_only=RStick} Ajustar	{key=Confirm} Colocar; {key=Use} Mudar a aparência; {gamepad_only=RStick} Ajustar	{key=Confirm} 放置; {key=Use} 变更外观; {gamepad_only=RStick} 调整	{key=Confirm} 設置; {key=Use} 見た目を変更; {gamepad_only=RStick} 調整	{key=Confirm} Установить; {key=Use} Изменить внешний вид; {gamepad_only=RStick} Подвинуть
									
									
hint_equip_item	{key=Use, touch=Tap} Equip	Equip fishing lure	{key=Use, touch=Tap} Équiper	{key=Use, touch=Tap} Ausrüsten	{key=Use, touch=Tap} Equipar	{key=Use, touch=Tap} Equipar	{key=Use, touch=Tap} 装备	{key=Use, touch=Tap} 装備	{key=Use, touch=Tap} Насадить приманку
hint_use_item	{key=Use, mouse=LB, touch=Tap} Use		{key=Use, mouse=LB, touch=Tap} Utiliser	{key=Use, mouse=LB, touch=Tap} Benutzen	{key=Use, mouse=LB, touch=Tap} Usar	{key=Use, mouse=LB, touch=Tap} Usar	{key=Use, mouse=LB, touch=Tap} 使用	{key=Use, mouse=LB, touch=Tap} 使用	{key=Use, mouse=LB, touch=Tap} Использовать
hint_put_item	{key=Use, mouse=LB, touch=Tap} Put		{key=Use, mouse=LB, touch=Tap} Placer	{key=Use, mouse=LB, touch=Tap} Platzieren	{key=Use, mouse=LB, touch=Tap} Poner	{key=Use, mouse=LB, touch=Tap} Colocar	{key=Use, mouse=LB, touch=Tap} 放	{key=Use, mouse=LB, touch=Tap} 置く	{key=Use, mouse=LB, touch=Tap} Положить
hint_open_object	{key=Confirm, mouse=RB, touch=Tap} Open	Open treasure map	{key=Confirm, mouse=RB, touch=Tap} Ouvrir	{key=Confirm, mouse=RB, touch=Tap} Öffnen	{key=Confirm, mouse=RB, touch=Tap} Abrir	{key=Confirm, mouse=RB, touch=Tap} Abrir	{key=Confirm, mouse=RB, touch=Tap} 打开	{key=Confirm, mouse=RB, touch=Tap} 開く	{key=Confirm, mouse=RB, touch=Tap} Открыть
hint_open_item	{key=Use, touch=Tap} Open		{key=Use, touch=Tap} Ouvrir	{key=Use, touch=Tap} Öffnen	{key=Use, touch=Tap} Abrir	{key=Use, touch=Tap} Abrir	{key=Use, touch=Tap} 打开	{key=Use, touch=Tap} 開く	{key=Use, touch=Tap} Открыть
hint_fly	{key=Use, mouse=LB, touch=Tap} Fly		{key=Use, mouse=LB, touch=Tap} Voler	{key=Use, mouse=LB, touch=Tap} Fliegen	{key=Use, mouse=LB, touch=Tap} Volar	{key=Use, mouse=LB, touch=Tap} Voar	{key=Use, mouse=LB, touch=Tap} 飞	{key=Use, mouse=LB, touch=Tap} 飛ぶ	{key=Use, mouse=LB, touch=Tap} Лететь
hint_fly_broom	{id=broom_charge, key=Use, mouse=LB} Hold to charge		{id=broom_charge, key=Use, mouse=LB} Maintenir pour charger	{id=broom_charge, key=Use, mouse=LB} Halten zum Aufladen	{id=broom_charge, key=Use, mouse=LB} Mantén pulsado para cargar	{id=broom_charge, key=Use, mouse=LB} Segure para carregar	{id=broom_charge, key=Use, mouse=LB} 长按以充能	{id=broom_charge, key=Use, mouse=LB} 長押しでチャージ	{id=broom_charge, key=Use, mouse=LB} (удерж.) Зарядить
									
									
									
hint_flying	{key=SpecialAction} Fall		{key=SpecialAction} Tomber	{key=SpecialAction} Fallen	{key=SpecialAction} Caer	{key=SpecialAction} Cair	{key=SpecialAction} 跌倒	{key=SpecialAction} 落下	{key=SpecialAction} Упасть
hint_medallion	{id=medallion_activate, key=Use, mouse=LB} Hold to enter Medallion		{id=medallion_activate, key=Use, mouse=LB} Maintenir pour entrer dans le médaillon	{id=medallion_activate, key=Use, mouse=LB} Halten, um Medaillon zu betreten.	{id=medallion_activate, key=Use, mouse=LB} Mantén pulsado para entrar en el medallón	{id=medallion_activate, key=Use, mouse=LB} Segure para entrar no Medalhão	{id=medallion_activate, key=Use, mouse=LB} 长按以进入徽章	{id=medallion_activate, key=Use, mouse=LB} 長押しでメダルの中へ	{id=medallion_activate, key=Use, mouse=LB} (удерж.) Медальон
hint_alchemists_wand	{key=Use, mouse=LB} Hold to accelerate growth		{key=Use, mouse=LB} Maintenir pour accélérer la croissance	{key=Use, mouse=LB} Halten, um Wachstum zu beschleunigen.	{key=Use, mouse=LB} Mantén pulsado para acelerar el crecimiento	{key=Use, mouse=LB} Segure para acelerar o crescimento	{key=Use, mouse=LB} 长按以加速生长	{key=Use, mouse=LB} 長押しで生長を速める	{key=Use, mouse=LB} (удерж.) Ускорение роста
hint_consume	{key=Use} Consume		{key=Use} Consommer	{key=Use} Verbrauchen	{key=Use} Consumir	{key=Use} Consumir	{key=Use} 消耗	{key=Use} 使用	{key=Use} Употребить
hint_consume_drop	{key=Use} Consume; {key=SpecialAction} Drop		{key=Use} Consommer; {key=SpecialAction} Déposer	{key=Use} Verbrauchen; {key=SpecialAction} Ablegen	{key=Use} Consumir; {key=SpecialAction} Soltar	{key=Use} Consumir; {key=SpecialAction} Soltar	{key=Use} 消耗; {key=SpecialAction} 掉落	{key=Use} 使用; {key=SpecialAction} 落とす	{key=Use} Употребить; {key=SpecialAction} Уронить
hint_interact	{key=Confirm, mouse=RB, touch=Tap} Select	interact with spirit	{key=Confirm, mouse=RB, touch=Tap} Sélectionner	{key=Confirm, mouse=RB, touch=Tap} Auswählen	{key=Confirm, mouse=RB, touch=Tap} Seleccionar	{key=Confirm, mouse=RB, touch=Tap} Selecionar	{key=Confirm, mouse=RB, touch=Tap} 选择	{key=Confirm, mouse=RB, touch=Tap} 選択	{key=Confirm, mouse=RB, touch=Tap} Выбрать
									
hint_activate_hold	{id=hold, key=Confirm, mouse=RB} Hold to Activate		{id=hold, key=Confirm, mouse=RB} Maintenir pour activer	{id=hold, key=Confirm, mouse=RB} Halten zum Aktivieren	{id=hold, key=Confirm, mouse=RB} Mantén pulsado para activar	{id=hold, key=Confirm, mouse=RB} Segure para ativar	{id=hold, key=Confirm, mouse=RB} 长按以激活	{id=hold, key=Confirm, mouse=RB} 長押しで起動	{id=hold, key=Confirm, mouse=RB} (удерж.) Активировать
hint_talk	{key=Confirm, mouse=RB, touch=Tap} Talk		{key=Confirm, mouse=RB, touch=Tap} Parler	{key=Confirm, mouse=RB, touch=Tap} Reden	{key=Confirm, mouse=RB, touch=Tap} Hablar	{key=Confirm, mouse=RB, touch=Tap} Falar	{key=Confirm, mouse=RB, touch=Tap} 交谈	{key=Confirm, mouse=RB, touch=Tap} 話す	{key=Confirm, mouse=RB, touch=Tap} Общаться
									
									
									
hint_menu_confirm_exit	{key=ConfirmUI, mouse=LB} Confirm; {key=Esc} Exit		{key=ConfirmUI, mouse=LB} Confirmer; {key=Esc} Quitter	{key=ConfirmUI, mouse=LB} Bestätigen; {key=Esc} Verlassen	{key=ConfirmUI, mouse=LB} Confirmar; {key=Esc} Salir	{key=ConfirmUI, mouse=LB} Confirmar; {key=Esc} Sair	{key=ConfirmUI, mouse=LB} 确认; {key=Esc} 退出	{key=ConfirmUI, mouse=LB} OK; {key=Esc} 終了	{key=ConfirmUI, mouse=LB} Подтвердить; {key=Esc} Выход
hint_menu_confirm_cancel	{key=ConfirmUI, mouse=LB} Confirm; {key=Esc} Cancel		{key=ConfirmUI, mouse=LB} Confirmer; {key=Esc} Annuler	{key=ConfirmUI, mouse=LB} Bestätigen; {key=Esc} Abbrechen	{key=ConfirmUI, mouse=LB} Confirmar; {key=Esc} Cancelar	{key=ConfirmUI, mouse=LB} Confirmar; {key=Esc} Cancelar	{key=ConfirmUI, mouse=LB} 确认; {key=Esc} 取消	{key=ConfirmUI, mouse=LB} OK; {key=Esc} キャンセル	{key=ConfirmUI, mouse=LB} Подтвердить; {key=Esc} Отмена
hint_menu_confirm_only	{key=ConfirmUI, mouse=LB} Confirm		{key=ConfirmUI, mouse=LB} Confirmer	{key=ConfirmUI, mouse=LB} Bestätigen	{key=ConfirmUI, mouse=LB} Confirmar	{key=ConfirmUI, mouse=LB} Confirmar	{key=ConfirmUI, mouse=LB} 确认	{key=ConfirmUI, mouse=LB} OK	{key=ConfirmUI, mouse=LB} Подтвердить
hint_menu_cancel_only	{key=Esc} Exit		{key=Esc} Quitter	{key=Esc} Verlassen	{key=Esc} Salir	{key=Esc} Sair	{key=Esc} 退出	{key=Esc} 終了	{key=Esc} Выход
									
hint_menu_sell	{key=LeftRight} Change Quantity; {key=ConfirmUI} Confirm		{key=LeftRight} Changer la quantité; {key=ConfirmUI} Confirmer	{key=LeftRight} Menge ändern; {key=ConfirmUI} Bestätigen	{key=LeftRight} Cambiar cantidad; {key=ConfirmUI} Confirmar	{key=LeftRight} Alterar quantidade; {key=ConfirmUI} Confirmar	{key=LeftRight} 变更数量; {key=ConfirmUI} 确认	{key=LeftRight} 数の変更; {key=ConfirmUI} OK	{key=LeftRight} Изменить количество; {key=ConfirmUI} Подтвердить
hint_menu_split	{key=LeftRight} Change Quantity; {key=ConfirmUI} Confirm		{key=LeftRight} Changer la quantité; {key=ConfirmUI} Confirmer	{key=LeftRight} Menge ändern; {key=ConfirmUI} Bestätigen	{key=LeftRight} Cambiar cantidad; {key=ConfirmUI} Confirmar	{key=LeftRight} Alterar quantidade; {key=ConfirmUI} Confirmar	{key=LeftRight} 变更数量; {key=ConfirmUI} 确认	{key=LeftRight} 数の変更; {key=ConfirmUI} OK	{key=LeftRight} Изменить количество; {key=ConfirmUI} Подтвердить
									
									
									
hint_combat_cards	{key=ConfirmUI} Select; {id=end_turn, key=SpecialAction} Hold to end turn		{key=ConfirmUI} Sélectionner; {id=end_turn, key=SpecialAction} Maintenir pour terminer le tour	{key=ConfirmUI} Auswählen; {id=end_turn, key=SpecialAction} Halten, um Zug zu beenden.	{key=ConfirmUI} Seleccionar; {id=end_turn, key=SpecialAction} Mantén pulsado para terminar el turno	{key=ConfirmUI} Selecionar; {id=end_turn, key=SpecialAction} Segure para terminar o turno	{key=ConfirmUI} 选择; {id=end_turn, key=SpecialAction} 长按以结束回合	{key=ConfirmUI} 選択; {id=end_turn, key=SpecialAction} 長押しでターン終了	{key=ConfirmUI} Выбрать; {id=end_turn, key=SpecialAction} (удерж.) Завершить ход
hint_combat_cards_gamepad	{key=ConfirmUI} Select; {id=end_turn, gamepad_only=Y} Hold to end turn		{key=ConfirmUI} Sélectionner; {id=end_turn, gamepad_only=Y} Maintenir pour terminer le tour	{key=ConfirmUI} Auswählen; {id=end_turn, gamepad_only=Y} Halten, um Zug zu beenden.	{key=ConfirmUI} Seleccionar; {id=end_turn, gamepad_only=Y} Mantén pulsado para terminar el turno	{key=ConfirmUI} Selecionar; {id=end_turn, gamepad_only=Y} Segure para terminar o turno	{key=ConfirmUI} 选择; {id=end_turn, gamepad_only=Y} 长按以结束回合	{key=ConfirmUI} 選択; {id=end_turn, gamepad_only=Y} 長押しでターン終了	{key=ConfirmUI} Выбрать; {id=end_turn, gamepad_only=Y} (удерж.) Завершить ход
hint_combat_fast_toggle	{key=QuickWheel} Toggle Fast Mode		{key=QuickWheel} Activer le mode rapide	{key=QuickWheel} Schnellmodus ein/aus	{key=QuickWheel} Activar el modo rápido	{key=QuickWheel} Ativar Modo Rápido	{key=QuickWheel}切换快速模式	{key=QuickWheel} ファストモード切替	{key=QuickWheel} Ускоренный режим
hint_combat_fast_toggle_gamepad	{gamepad_only=X} Toggle Fast Mode		{gamepad_only=X} Activer le mode rapide	{gamepad_only=X} Schnellmodus ein/aus	{gamepad_only=X} Activar el modo rápido	{gamepad_only=X} Ativar Modo Rápido	{gamepad_only=X}切换快速模式	{gamepad_only=X} ファストモード切替	{gamepad_only=X} Ускоренный режим
hint_combat_confirm_cancel	{key=ConfirmUI} Select target; {key=Esc} Cancel		{key=ConfirmUI} Sélectionner la cible; {key=Esc} Annuler	{key=ConfirmUI} Ziel auswählen; {key=Esc} Abbrechen	{key=ConfirmUI} Seleccionar objetivo; {key=Esc} Cancelar	{key=ConfirmUI} Selecionar alvo; {key=Esc} Cancelar	{key=ConfirmUI} 选择目标; {key=Esc} 取消	{key=ConfirmUI} ターゲット選択; {key=Esc} キャンセル	{key=ConfirmUI} Выбрать цель; {key=Esc} Отмена
									
hint_title	{key=UpDown} Navigate; {key=ConfirmUI} Select		{key=UpDown} Parcourir; {key=ConfirmUI} Sélectionner	{key=UpDown} Navigieren; {key=ConfirmUI} Auswählen	{key=UpDown} Navegar; {key=ConfirmUI} Seleccionar	{key=UpDown} Navegar; {key=ConfirmUI} Selecionar	{key=UpDown} 导航; {key=ConfirmUI} 选择	{key=UpDown} 移動; {key=ConfirmUI} 選択	{key=UpDown} Навигация; {key=ConfirmUI} Выбрать
									
hint_fishing_cast	{key=Use, mouse=LB} Hold to cast		{key=Use, mouse=LB} Maintenir pour lancer	{key=Use, mouse=LB} Halten zum Auswerfen	{key=Use, mouse=LB} Mantén pulsado para lanzar el sedal	{key=Use, mouse=LB} Segure para lançar	{key=Use, mouse=LB} 长按以施法	{key=Use, mouse=LB} 長押しで投げる	{key=Use, mouse=LB} (удерж.) Забросить
hint_fishing_hook	{key=Use, mouse=LB, touch=Tap} Hook/reel		{key=Use, mouse=LB, touch=Tap} Ferrer/Mouliner	{key=Use, mouse=LB, touch=Tap} Anbeißen lassen/Einholen	{key=Use, mouse=LB, touch=Tap} Lanzar/recoger el sedal	{key=Use, mouse=LB, touch=Tap} Fisgar/puxar	{key=Use, mouse=LB, touch=Tap} 放钓线/收钓线	{key=Use, mouse=LB, touch=Tap} 釣る/巻き上げる	{key=Use, mouse=LB, touch=Tap} Подсечь/смотать снасть
hint_fishing_control	{key=LeftRightUpDown, mouse=LB, touch=Drag} Move circle		{key=LeftRightUpDown, mouse=LB, touch=Drag} Déplacer le réticule	{key=LeftRightUpDown, mouse=LB, touch=Drag} Kreis bewegen	{key=LeftRightUpDown, mouse=LB, touch=Drag} Mover círculo	{key=LeftRightUpDown, mouse=LB, touch=Drag} Mover círculo	{key=LeftRightUpDown, mouse=LB, touch=Drag} 转圈	{key=LeftRightUpDown, mouse=LB, touch=Drag} サークル移動	{key=LeftRightUpDown, mouse=LB, touch=Drag} Вываживать рыбу
hint_fishing_control_gamepad	{gamepad_only=LStick} Move circle		{gamepad_only=LStick} Déplacer le réticule	{gamepad_only=LStick} Kreis bewegen	{gamepad_only=LStick} Mover círculo	{gamepad_only=LStick} Mover círculo	{gamepad_only=LStick} 转圈	{gamepad_only=LStick} サークル移動	{gamepad_only=LStick} Вываживать рыбу
									
hint_shop	{key=ConfirmUI, mouse=RB} Purchase; {key=Esc} Exit		{key=ConfirmUI, mouse=RB} Acheter; {key=Esc} Quitter	{key=ConfirmUI, mouse=RB} Kaufen; {key=Esc} Verlassen	{key=ConfirmUI, mouse=RB} Comprar; {key=Esc} Salir	{key=ConfirmUI, mouse=RB} Comprar; {key=Esc} Sair	{key=ConfirmUI, mouse=RB} 购买; {key=Esc} 退出	{key=ConfirmUI, mouse=RB} 購入; {key=Esc} 終了	{key=ConfirmUI, mouse=RB} Купить; {key=Esc} Выход
									
hint_loom	{key=None, mouse=Wheel} Change color; {key=SpecialAction} Change tool; {key=Esc} Exit		{key=None, mouse=Wheel} Changer de couleur; {key=SpecialAction} Changer d'outil; {key=Esc} Quitter	{key=None, mouse=Wheel} Farbe ändern; {key=SpecialAction} Werkzeug wechseln; {key=Esc} Verlassen	{key=None, mouse=Wheel} Cambiar color; {key=SpecialAction} Cambiar herramienta; {key=Esc} Salir	{key=None, mouse=Wheel} Mudar cor; {key=SpecialAction} Mudar ferramenta; {key=Esc} Sair	{key=None, mouse=Wheel} 变更颜色; {key=SpecialAction} 变更工具;{key=Esc} 退出	{key=None, mouse=Wheel} 色の変更; {key=SpecialAction} 道具の変更; {key=Esc} 終了	{key=None, mouse=Wheel} Изменить цвет; {key=SpecialAction} Сменить инструмент; {key=Esc} Выход
hint_loom_gamepad	{gamepad_only=LB_RB} Change color; {gamepad_only=LT_RT} Change Tool; {gamepad_only=Y} Undo; {key=Esc} Exit		{gamepad_only=LB_RB} Changer de couleur; {gamepad_only=LT_RT} Changer d'outil; {gamepad_only=Y} Annuler; {key=Esc} Quitter	{gamepad_only=LB_RB} Farbe ändern; {gamepad_only=LT_RT} Werkzeug wechseln; {gamepad_only=Y} Rückgängig; {key=Esc} Verlassen	{gamepad_only=LB_RB} Cambiar color; {gamepad_only=LT_RT} Cambiar herramienta; {gamepad_only=Y} Deshacer; {key=Esc} Salir	{gamepad_only=LB_RB} Mudar cor; {gamepad_only=LT_RT} Mudar ferramenta; {gamepad_only=Y} Desfazer; {key=Esc} Sair	{gamepad_only=LB_RB} 变更颜色; {gamepad_only=LT_RT} 变更工具; {gamepad_only=Y} 撤销; {key=Esc} 退出	{gamepad_only=LB_RB} 色の変更; {gamepad_only=LT_RT} 道具の変更; {gamepad_only=Y} 元に戻す; {key=Esc} 終了	{gamepad_only=LB_RB} Изменить цвет; {gamepad_only=LT_RT} Сменить инструмент; {gamepad_only=Y} Отмена; {key=Esc} Выход
